new_index,Year,County,BU / ACRE,county_small
1962-Pope County,1962,POPE,44.0,Pope County
1962-Ramsey County,1962,RAMSEY,67.0,Ramsey County
1962-Red Lake County,1962,RED LAKE,35.0,Red Lake County
1962-Redwood County,1962,REDWOOD,58.0,Redwood County
1962-Renville County,1962,RENVILLE,56.0,Renville County
1962-Rice County,1962,RICE,76.0,Rice County
1962-Rock County,1962,ROCK,58.0,Rock County
1962-Roseau County,1962,ROSEAU,19.0,Roseau County
1962-Scott County,1962,SCOTT,69.0,Scott County
1962-Sherburne County,1962,SHERBURNE,49.0,Sherburne County
1962-Sibley County,1962,SIBLEY,59.0,Sibley County
1962-Stearns County,1962,STEARNS,47.0,Stearns County
1962-Steele County,1962,STEELE,70.0,Steele County
1962-Stevens County,1962,STEVENS,41.0,Stevens County
1962-Swift County,1962,SWIFT,49.0,Swift County
1962-Todd County,1962,TODD,41.0,Todd County
1962-Traverse County,1962,TRAVERSE,29.0,Traverse County
1962-Wadena County,1962,WADENA,39.0,Wadena County
1962-Waseca County,1962,WASECA,78.0,Waseca County
1962-Washington County,1962,WASHINGTON,69.0,Washington County
1962-Watonwan County,1962,WATONWAN,69.0,Watonwan County
1962-Wilkin County,1962,WILKIN,27.0,Wilkin County
1962-Wright County,1962,WRIGHT,61.0,Wright County
1962-Yellow Medicine County,1962,YELLOW MEDICINE,54.0,Yellow Medicine County
1963-Aitkin County,1963,AITKIN,50.0,Aitkin County
1963-Anoka County,1963,ANOKA,61.0,Anoka County
1963-Becker County,1963,BECKER,48.0,Becker County
1963-Beltrami County,1963,BELTRAMI,46.0,Beltrami County
1963-Benton County,1963,BENTON,58.0,Benton County
1963-Big Stone County,1963,BIG STONE,54.0,Big Stone County
1963-Blue Earth County,1963,BLUE EARTH,78.0,Blue Earth County
1963-Brown County,1963,BROWN,74.0,Brown County
1963-Carlton County,1963,CARLTON,51.0,Carlton County
1963-Carver County,1963,CARVER,70.0,Carver County
1963-Cass County,1963,CASS,46.0,Cass County
1963-Chippewa County,1963,CHIPPEWA,72.0,Chippewa County
1963-Chisago County,1963,CHISAGO,62.0,Chisago County
1963-Clay County,1963,CLAY,54.0,Clay County
1963-Clearwater County,1963,CLEARWATER,41.0,Clearwater County
1963-Cottonwood County,1963,COTTONWOOD,66.0,Cottonwood County
1963-Crow Wing County,1963,CROW WING,52.0,Crow Wing County
1963-Douglas County,1963,DOUGLAS,55.0,Douglas County
1963-Faribault County,1963,FARIBAULT,82.0,Faribault County
1963-Freeborn County,1963,FREEBORN,79.0,Freeborn County
1963-Grant County,1963,GRANT,57.0,Grant County
1963-Hennepin County,1963,HENNEPIN,58.0,Hennepin County
1963-Hubbard County,1963,HUBBARD,44.0,Hubbard County
1963-Isanti County,1963,ISANTI,61.0,Isanti County
1963-Itasca County,1963,ITASCA,43.0,Itasca County
1963-Jackson County,1963,JACKSON,79.0,Jackson County
1963-Kanabec County,1963,KANABEC,52.0,Kanabec County
1963-Kandiyohi County,1963,KANDIYOHI,73.0,Kandiyohi County
1963-Kittson County,1963,KITTSON,27.0,Kittson County
1963-Lac Qui Parle County,1963,LAC QUI PARLE,69.0,Lac Qui Parle County
1963-Le Sueur County,1963,LE SUEUR,76.0,Le Sueur County
1963-Lincoln County,1963,LINCOLN,59.0,Lincoln County
1963-Lyon County,1963,LYON,62.0,Lyon County
1963-Mahnomen County,1963,MAHNOMEN,57.0,Mahnomen County
1963-Marshall County,1963,MARSHALL,41.0,Marshall County
1963-Martin County,1963,MARTIN,79.0,Martin County
1963-Mcleod County,1963,MCLEOD,70.0,Mcleod County
1963-Meeker County,1963,MEEKER,72.0,Meeker County
1963-Mille Lacs County,1963,MILLE LACS,50.0,Mille Lacs County
1963-Morrison County,1963,MORRISON,53.0,Morrison County
1963-Murray County,1963,MURRAY,63.0,Murray County
1963-Nicollet County,1963,NICOLLET,77.0,Nicollet County
1963-Nobles County,1963,NOBLES,71.0,Nobles County
1963-Norman County,1963,NORMAN,57.0,Norman County
1963-Otter Tail County,1963,OTTER TAIL,48.0,Otter Tail County
1963-Pennington County,1963,PENNINGTON,44.0,Pennington County
1963-Pine County,1963,PINE,61.0,Pine County
1963-Pipestone County,1963,PIPESTONE,64.0,Pipestone County
1963-Polk County,1963,POLK,53.0,Polk County
1963-Pope County,1963,POPE,59.0,Pope County
1963-Ramsey County,1963,RAMSEY,58.0,Ramsey County
1963-Red Lake County,1963,RED LAKE,48.0,Red Lake County
1963-Redwood County,1963,REDWOOD,63.0,Redwood County
1963-Renville County,1963,RENVILLE,72.0,Renville County
1963-Rice County,1963,RICE,69.0,Rice County
1963-Rock County,1963,ROCK,61.0,Rock County
1963-Roseau County,1963,ROSEAU,26.0,Roseau County
1963-Scott County,1963,SCOTT,66.0,Scott County
1963-Sherburne County,1963,SHERBURNE,47.0,Sherburne County
1963-Sibley County,1963,SIBLEY,72.0,Sibley County
1963-Stearns County,1963,STEARNS,53.0,Stearns County
1963-Steele County,1963,STEELE,81.0,Steele County
1963-Stevens County,1963,STEVENS,55.0,Stevens County
1963-Swift County,1963,SWIFT,61.0,Swift County
1963-Todd County,1963,TODD,53.0,Todd County
1963-Traverse County,1963,TRAVERSE,49.0,Traverse County
1963-Wadena County,1963,WADENA,41.0,Wadena County
1963-Waseca County,1963,WASECA,84.0,Waseca County
1963-Washington County,1963,WASHINGTON,64.0,Washington County
1963-Watonwan County,1963,WATONWAN,71.0,Watonwan County
1963-Wilkin County,1963,WILKIN,50.0,Wilkin County
1963-Wright County,1963,WRIGHT,62.0,Wright County
1963-Yellow Medicine County,1963,YELLOW MEDICINE,73.0,Yellow Medicine County
1964-Aitkin County,1964,AITKIN,48.0,Aitkin County
1964-Anoka County,1964,ANOKA,46.0,Anoka County
1964-Becker County,1964,BECKER,33.0,Becker County
1964-Beltrami County,1964,BELTRAMI,26.0,Beltrami County
1964-Benton County,1964,BENTON,36.0,Benton County
1964-Big Stone County,1964,BIG STONE,34.0,Big Stone County
1964-Blue Earth County,1964,BLUE EARTH,82.0,Blue Earth County
1964-Brown County,1964,BROWN,76.0,Brown County
1964-Carlton County,1964,CARLTON,46.0,Carlton County
1964-Carver County,1964,CARVER,65.0,Carver County
1964-Cass County,1964,CASS,43.0,Cass County
1964-Chippewa County,1964,CHIPPEWA,46.0,Chippewa County
1964-Chisago County,1964,CHISAGO,49.0,Chisago County
1964-Clay County,1964,CLAY,46.0,Clay County
1964-Clearwater County,1964,CLEARWATER,22.0,Clearwater County
1964-Cottonwood County,1964,COTTONWOOD,73.0,Cottonwood County
1964-Crow Wing County,1964,CROW WING,43.0,Crow Wing County
1964-Douglas County,1964,DOUGLAS,35.0,Douglas County
1964-Faribault County,1964,FARIBAULT,86.0,Faribault County
1964-Freeborn County,1964,FREEBORN,68.0,Freeborn County
1964-Grant County,1964,GRANT,38.0,Grant County
1964-Hennepin County,1964,HENNEPIN,51.0,Hennepin County
1964-Hubbard County,1964,HUBBARD,37.0,Hubbard County
1964-Isanti County,1964,ISANTI,58.0,Isanti County
1964-Itasca County,1964,ITASCA,40.0,Itasca County
1964-Jackson County,1964,JACKSON,84.0,Jackson County
1964-Kanabec County,1964,KANABEC,62.0,Kanabec County
1964-Kandiyohi County,1964,KANDIYOHI,54.0,Kandiyohi County
1964-Kittson County,1964,KITTSON,22.0,Kittson County
1964-Lac Qui Parle County,1964,LAC QUI PARLE,37.0,Lac Qui Parle County
1964-Le Sueur County,1964,LE SUEUR,77.0,Le Sueur County
1964-Lincoln County,1964,LINCOLN,49.0,Lincoln County
1964-Lyon County,1964,LYON,54.0,Lyon County
1964-Mahnomen County,1964,MAHNOMEN,25.0,Mahnomen County
1964-Marshall County,1964,MARSHALL,26.0,Marshall County
1964-Martin County,1964,MARTIN,82.0,Martin County
1964-Mcleod County,1964,MCLEOD,69.0,Mcleod County
1964-Meeker County,1964,MEEKER,52.0,Meeker County
1964-Mille Lacs County,1964,MILLE LACS,41.0,Mille Lacs County
1964-Morrison County,1964,MORRISON,36.0,Morrison County
1964-Murray County,1964,MURRAY,55.0,Murray County
1964-Nicollet County,1964,NICOLLET,77.0,Nicollet County
1964-Nobles County,1964,NOBLES,62.0,Nobles County
1964-Norman County,1964,NORMAN,33.0,Norman County
1964-Otter Tail County,1964,OTTER TAIL,40.0,Otter Tail County
1964-Pennington County,1964,PENNINGTON,26.0,Pennington County
1964-Pine County,1964,PINE,51.0,Pine County
1964-Pipestone County,1964,PIPESTONE,42.0,Pipestone County
1964-Polk County,1964,POLK,25.0,Polk County
1964-Pope County,1964,POPE,31.0,Pope County
1964-Ramsey County,1964,RAMSEY,45.0,Ramsey County
1964-Red Lake County,1964,RED LAKE,25.0,Red Lake County
1964-Redwood County,1964,REDWOOD,63.0,Redwood County
1964-Renville County,1964,RENVILLE,61.0,Renville County
1964-Rice County,1964,RICE,68.0,Rice County
1964-Rock County,1964,ROCK,63.0,Rock County
1964-Roseau County,1964,ROSEAU,21.0,Roseau County
1964-Scott County,1964,SCOTT,66.0,Scott County
1964-Sherburne County,1964,SHERBURNE,32.0,Sherburne County
1964-Sibley County,1964,SIBLEY,74.0,Sibley County
1964-Stearns County,1964,STEARNS,34.0,Stearns County
1964-Steele County,1964,STEELE,64.0,Steele County
1964-Stevens County,1964,STEVENS,36.0,Stevens County
1964-Swift County,1964,SWIFT,38.0,Swift County
1964-Todd County,1964,TODD,40.0,Todd County
1964-Traverse County,1964,TRAVERSE,45.0,Traverse County
1964-Wadena County,1964,WADENA,38.0,Wadena County
1964-Waseca County,1964,WASECA,85.0,Waseca County
1964-Washington County,1964,WASHINGTON,36.0,Washington County
1964-Watonwan County,1964,WATONWAN,73.0,Watonwan County
1964-Wilkin County,1964,WILKIN,42.0,Wilkin County
1964-Wright County,1964,WRIGHT,46.0,Wright County
1964-Yellow Medicine County,1964,YELLOW MEDICINE,52.0,Yellow Medicine County
1965-Aitkin County,1965,AITKIN,35.0,Aitkin County
1965-Anoka County,1965,ANOKA,55.0,Anoka County
1965-Becker County,1965,BECKER,32.0,Becker County
1965-Benton County,1965,BENTON,45.0,Benton County
1965-Big Stone County,1965,BIG STONE,43.0,Big Stone County
1965-Blue Earth County,1965,BLUE EARTH,72.0,Blue Earth County
1965-Brown County,1965,BROWN,65.0,Brown County
1965-Carver County,1965,CARVER,68.0,Carver County
1965-Cass County,1965,CASS,21.0,Cass County
1965-Chippewa County,1965,CHIPPEWA,51.0,Chippewa County
1965-Chisago County,1965,CHISAGO,59.0,Chisago County
1965-Clay County,1965,CLAY,41.0,Clay County
1965-Clearwater County,1965,CLEARWATER,30.0,Clearwater County
1965-Cottonwood County,1965,COTTONWOOD,58.0,Cottonwood County
1965-Crow Wing County,1965,CROW WING,28.0,Crow Wing County
1965-Douglas County,1965,DOUGLAS,39.0,Douglas County
1965-Faribault County,1965,FARIBAULT,75.0,Faribault County
1965-Freeborn County,1965,FREEBORN,81.0,Freeborn County
1965-Grant County,1965,GRANT,40.0,Grant County
1965-Hennepin County,1965,HENNEPIN,62.0,Hennepin County
1965-Hubbard County,1965,HUBBARD,23.0,Hubbard County
1965-Isanti County,1965,ISANTI,50.0,Isanti County
1965-Jackson County,1965,JACKSON,60.0,Jackson County
1965-Kanabec County,1965,KANABEC,42.0,Kanabec County
1965-Kandiyohi County,1965,KANDIYOHI,59.0,Kandiyohi County
1965-Lac Qui Parle County,1965,LAC QUI PARLE,56.0,Lac Qui Parle County
1965-Le Sueur County,1965,LE SUEUR,69.0,Le Sueur County
1965-Lincoln County,1965,LINCOLN,40.0,Lincoln County
1965-Lyon County,1965,LYON,49.0,Lyon County
1965-Mahnomen County,1965,MAHNOMEN,35.0,Mahnomen County
1965-Marshall County,1965,MARSHALL,32.0,Marshall County
1965-Martin County,1965,MARTIN,70.0,Martin County
1965-Mcleod County,1965,MCLEOD,67.0,Mcleod County
1965-Meeker County,1965,MEEKER,58.0,Meeker County
1965-Mille Lacs County,1965,MILLE LACS,41.0,Mille Lacs County
1965-Morrison County,1965,MORRISON,45.0,Morrison County
1965-Murray County,1965,MURRAY,49.0,Murray County
1965-Nicollet County,1965,NICOLLET,70.0,Nicollet County
1965-Nobles County,1965,NOBLES,56.0,Nobles County
1965-Norman County,1965,NORMAN,42.0,Norman County
1965-Otter Tail County,1965,OTTER TAIL,36.0,Otter Tail County
1965-Pennington County,1965,PENNINGTON,31.0,Pennington County
1965-Pine County,1965,PINE,44.0,Pine County
1965-Pipestone County,1965,PIPESTONE,47.0,Pipestone County
1965-Polk County,1965,POLK,40.0,Polk County
1965-Pope County,1965,POPE,49.0,Pope County
1965-Ramsey County,1965,RAMSEY,58.0,Ramsey County
1965-Red Lake County,1965,RED LAKE,30.0,Red Lake County
1965-Redwood County,1965,REDWOOD,67.0,Redwood County
1965-Renville County,1965,RENVILLE,68.0,Renville County
1965-Rice County,1965,RICE,70.0,Rice County
1965-Rock County,1965,ROCK,59.0,Rock County
1965-Scott County,1965,SCOTT,58.0,Scott County
1965-Sherburne County,1965,SHERBURNE,55.0,Sherburne County
1965-Sibley County,1965,SIBLEY,52.0,Sibley County
1965-Stearns County,1965,STEARNS,46.0,Stearns County
1965-Steele County,1965,STEELE,73.0,Steele County
1965-Stevens County,1965,STEVENS,45.0,Stevens County
1965-Swift County,1965,SWIFT,58.0,Swift County
1965-Todd County,1965,TODD,39.0,Todd County
1965-Traverse County,1965,TRAVERSE,44.0,Traverse County
1965-Wadena County,1965,WADENA,25.0,Wadena County
1965-Waseca County,1965,WASECA,81.0,Waseca County
1965-Washington County,1965,WASHINGTON,59.0,Washington County
1965-Watonwan County,1965,WATONWAN,64.0,Watonwan County
1965-Wilkin County,1965,WILKIN,42.0,Wilkin County
1965-Wright County,1965,WRIGHT,62.0,Wright County
1965-Yellow Medicine County,1965,YELLOW MEDICINE,57.0,Yellow Medicine County
1966-Aitkin County,1966,AITKIN,58.0,Aitkin County
1966-Anoka County,1966,ANOKA,57.0,Anoka County
1966-Becker County,1966,BECKER,47.0,Becker County
1966-Beltrami County,1966,BELTRAMI,38.0,Beltrami County
1966-Benton County,1966,BENTON,70.0,Benton County
1966-Big Stone County,1966,BIG STONE,54.0,Big Stone County
1966-Blue Earth County,1966,BLUE EARTH,91.0,Blue Earth County
1966-Brown County,1966,BROWN,80.0,Brown County
1966-Carlton County,1966,CARLTON,63.0,Carlton County
1966-Carver County,1966,CARVER,78.0,Carver County
1966-Cass County,1966,CASS,55.0,Cass County
1966-Chippewa County,1966,CHIPPEWA,72.0,Chippewa County
1966-Chisago County,1966,CHISAGO,77.0,Chisago County
1966-Clay County,1966,CLAY,53.0,Clay County
1966-Clearwater County,1966,CLEARWATER,35.0,Clearwater County
1966-Cottonwood County,1966,COTTONWOOD,79.0,Cottonwood County
1966-Crow Wing County,1966,CROW WING,63.0,Crow Wing County
1966-Douglas County,1966,DOUGLAS,58.0,Douglas County
1966-Faribault County,1966,FARIBAULT,96.0,Faribault County
1966-Freeborn County,1966,FREEBORN,92.0,Freeborn County
1966-Grant County,1966,GRANT,61.0,Grant County
1966-Hennepin County,1966,HENNEPIN,76.0,Hennepin County
1966-Hubbard County,1966,HUBBARD,49.0,Hubbard County
1966-Isanti County,1966,ISANTI,78.0,Isanti County
1966-Itasca County,1966,ITASCA,38.0,Itasca County
1966-Jackson County,1966,JACKSON,87.0,Jackson County
1966-Kanabec County,1966,KANABEC,64.0,Kanabec County
1966-Kandiyohi County,1966,KANDIYOHI,80.0,Kandiyohi County
1966-Kittson County,1966,KITTSON,40.0,Kittson County
1966-Koochiching County,1966,KOOCHICHING,38.0,Koochiching County
1966-Lac Qui Parle County,1966,LAC QUI PARLE,61.0,Lac Qui Parle County
1966-Lake Of The Woods County,1966,LAKE OF THE WOODS,40.0,Lake Of The Woods County
1966-Le Sueur County,1966,LE SUEUR,90.0,Le Sueur County
1966-Lincoln County,1966,LINCOLN,62.0,Lincoln County
1966-Lyon County,1966,LYON,59.0,Lyon County
1966-Mahnomen County,1966,MAHNOMEN,52.0,Mahnomen County
1966-Marshall County,1966,MARSHALL,45.0,Marshall County
1966-Martin County,1966,MARTIN,93.0,Martin County
1966-Mcleod County,1966,MCLEOD,81.0,Mcleod County
1966-Meeker County,1966,MEEKER,79.0,Meeker County
1966-Mille Lacs County,1966,MILLE LACS,65.0,Mille Lacs County
1966-Morrison County,1966,MORRISON,65.0,Morrison County
1966-Murray County,1966,MURRAY,62.0,Murray County
1966-Nicollet County,1966,NICOLLET,91.0,Nicollet County
1966-Nobles County,1966,NOBLES,74.0,Nobles County
1966-Norman County,1966,NORMAN,58.0,Norman County
1966-Otter Tail County,1966,OTTER TAIL,56.0,Otter Tail County
1966-Pennington County,1966,PENNINGTON,42.0,Pennington County
1966-Pine County,1966,PINE,69.0,Pine County
1966-Pipestone County,1966,PIPESTONE,48.0,Pipestone County
1966-Polk County,1966,POLK,49.0,Polk County
1966-Pope County,1966,POPE,55.0,Pope County
1966-Ramsey County,1966,RAMSEY,74.0,Ramsey County
1966-Red Lake County,1966,RED LAKE,48.0,Red Lake County
1966-Redwood County,1966,REDWOOD,74.0,Redwood County
1966-Renville County,1966,RENVILLE,82.0,Renville County
1966-Rice County,1966,RICE,86.0,Rice County
1966-Rock County,1966,ROCK,64.0,Rock County
1966-Roseau County,1966,ROSEAU,40.0,Roseau County
1966-Scott County,1966,SCOTT,77.0,Scott County
1966-Sherburne County,1966,SHERBURNE,60.0,Sherburne County
1966-Sibley County,1966,SIBLEY,82.0,Sibley County
1966-St. Louis County,1966,ST. LOUIS,37.0,St. Louis County
1966-Stearns County,1966,STEARNS,63.0,Stearns County
1966-Steele County,1966,STEELE,90.0,Steele County
1966-Stevens County,1966,STEVENS,60.0,Stevens County
1966-Swift County,1966,SWIFT,66.0,Swift County
1966-Todd County,1966,TODD,63.0,Todd County
1966-Traverse County,1966,TRAVERSE,53.0,Traverse County
1966-Wadena County,1966,WADENA,50.0,Wadena County
1966-Waseca County,1966,WASECA,97.0,Waseca County
1966-Washington County,1966,WASHINGTON,73.0,Washington County
1966-Watonwan County,1966,WATONWAN,90.0,Watonwan County
1966-Wilkin County,1966,WILKIN,58.0,Wilkin County
1966-Wright County,1966,WRIGHT,78.0,Wright County
1966-Yellow Medicine County,1966,YELLOW MEDICINE,60.8,Yellow Medicine County
1967-Aitkin County,1967,AITKIN,41.0,Aitkin County
1967-Anoka County,1967,ANOKA,61.0,Anoka County
1967-Becker County,1967,BECKER,39.0,Becker County
1967-Beltrami County,1967,BELTRAMI,36.0,Beltrami County
1967-Benton County,1967,BENTON,56.0,Benton County
1967-Big Stone County,1967,BIG STONE,45.0,Big Stone County
1967-Blue Earth County,1967,BLUE EARTH,86.0,Blue Earth County
1967-Brown County,1967,BROWN,82.0,Brown County
1967-Carlton County,1967,CARLTON,42.0,Carlton County
1967-Carver County,1967,CARVER,77.0,Carver County
1967-Cass County,1967,CASS,40.0,Cass County
1967-Chippewa County,1967,CHIPPEWA,71.0,Chippewa County
1967-Chisago County,1967,CHISAGO,68.0,Chisago County
1967-Clay County,1967,CLAY,41.0,Clay County
1967-Clearwater County,1967,CLEARWATER,39.0,Clearwater County
1967-Cottonwood County,1967,COTTONWOOD,83.0,Cottonwood County
1967-Crow Wing County,1967,CROW WING,46.0,Crow Wing County
1967-Douglas County,1967,DOUGLAS,43.0,Douglas County
1967-Faribault County,1967,FARIBAULT,91.0,Faribault County
1967-Freeborn County,1967,FREEBORN,80.0,Freeborn County
1967-Grant County,1967,GRANT,54.0,Grant County
1967-Hennepin County,1967,HENNEPIN,64.0,Hennepin County
1967-Hubbard County,1967,HUBBARD,40.0,Hubbard County
1967-Isanti County,1967,ISANTI,70.0,Isanti County
1967-Itasca County,1967,ITASCA,28.0,Itasca County
1967-Jackson County,1967,JACKSON,84.0,Jackson County
1967-Kanabec County,1967,KANABEC,54.0,Kanabec County
1967-Kandiyohi County,1967,KANDIYOHI,68.0,Kandiyohi County
1967-Kittson County,1967,KITTSON,36.0,Kittson County
1967-Lac Qui Parle County,1967,LAC QUI PARLE,52.0,Lac Qui Parle County
1967-Le Sueur County,1967,LE SUEUR,88.0,Le Sueur County
1967-Lincoln County,1967,LINCOLN,51.0,Lincoln County
1967-Lyon County,1967,LYON,64.0,Lyon County
1967-Mahnomen County,1967,MAHNOMEN,47.0,Mahnomen County
1967-Marshall County,1967,MARSHALL,51.0,Marshall County
1967-Martin County,1967,MARTIN,92.0,Martin County
1967-Mcleod County,1967,MCLEOD,75.0,Mcleod County
1967-Meeker County,1967,MEEKER,67.0,Meeker County
1967-Mille Lacs County,1967,MILLE LACS,59.0,Mille Lacs County
1967-Morrison County,1967,MORRISON,45.0,Morrison County
1967-Murray County,1967,MURRAY,63.0,Murray County
1967-Nicollet County,1967,NICOLLET,89.0,Nicollet County
1967-Nobles County,1967,NOBLES,68.0,Nobles County
1967-Norman County,1967,NORMAN,46.0,Norman County
1967-Otter Tail County,1967,OTTER TAIL,40.0,Otter Tail County
1967-Pennington County,1967,PENNINGTON,42.0,Pennington County
1967-Pine County,1967,PINE,62.0,Pine County
1967-Pipestone County,1967,PIPESTONE,53.0,Pipestone County
1967-Polk County,1967,POLK,45.0,Polk County
1967-Pope County,1967,POPE,44.0,Pope County
1967-Ramsey County,1967,RAMSEY,65.0,Ramsey County
1967-Red Lake County,1967,RED LAKE,44.0,Red Lake County
1967-Redwood County,1967,REDWOOD,78.0,Redwood County
1967-Renville County,1967,RENVILLE,82.0,Renville County
1967-Rice County,1967,RICE,80.0,Rice County
1967-Rock County,1967,ROCK,67.0,Rock County
1967-Roseau County,1967,ROSEAU,33.0,Roseau County
1967-Scott County,1967,SCOTT,63.0,Scott County
1967-Sherburne County,1967,SHERBURNE,46.0,Sherburne County
1967-Sibley County,1967,SIBLEY,83.0,Sibley County
1967-St. Louis County,1967,ST. LOUIS,27.0,St. Louis County
1967-Stearns County,1967,STEARNS,53.0,Stearns County
1967-Steele County,1967,STEELE,78.0,Steele County
1967-Stevens County,1967,STEVENS,49.0,Stevens County
1967-Swift County,1967,SWIFT,51.0,Swift County
1967-Todd County,1967,TODD,42.0,Todd County
1967-Traverse County,1967,TRAVERSE,57.0,Traverse County
1967-Wadena County,1967,WADENA,38.0,Wadena County
1967-Waseca County,1967,WASECA,93.0,Waseca County
1967-Washington County,1967,WASHINGTON,68.0,Washington County
1967-Watonwan County,1967,WATONWAN,82.0,Watonwan County
1967-Wilkin County,1967,WILKIN,50.0,Wilkin County
1967-Wright County,1967,WRIGHT,64.0,Wright County
1967-Yellow Medicine County,1967,YELLOW MEDICINE,60.0,Yellow Medicine County
1968-Aitkin County,1968,AITKIN,52.0,Aitkin County
1968-Anoka County,1968,ANOKA,61.0,Anoka County
1968-Becker County,1968,BECKER,44.0,Becker County
1968-Beltrami County,1968,BELTRAMI,38.0,Beltrami County
1968-Benton County,1968,BENTON,87.0,Benton County
1968-Big Stone County,1968,BIG STONE,61.0,Big Stone County
1968-Blue Earth County,1968,BLUE EARTH,93.0,Blue Earth County
1968-Brown County,1968,BROWN,88.0,Brown County
1968-Carlton County,1968,CARLTON,54.0,Carlton County
1968-Carver County,1968,CARVER,84.0,Carver County
1968-Cass County,1968,CASS,48.0,Cass County
1968-Chippewa County,1968,CHIPPEWA,79.0,Chippewa County
1968-Chisago County,1968,CHISAGO,71.0,Chisago County
1968-Clay County,1968,CLAY,48.0,Clay County
1968-Clearwater County,1968,CLEARWATER,37.0,Clearwater County
1968-Cottonwood County,1968,COTTONWOOD,89.0,Cottonwood County
1968-Crow Wing County,1968,CROW WING,45.0,Crow Wing County
1968-Douglas County,1968,DOUGLAS,47.0,Douglas County
1968-Faribault County,1968,FARIBAULT,98.0,Faribault County
1968-Freeborn County,1968,FREEBORN,89.0,Freeborn County
1968-Grant County,1968,GRANT,47.0,Grant County
1968-Hennepin County,1968,HENNEPIN,80.0,Hennepin County
1968-Hubbard County,1968,HUBBARD,47.0,Hubbard County
1968-Isanti County,1968,ISANTI,72.0,Isanti County
1968-Itasca County,1968,ITASCA,29.0,Itasca County
1968-Jackson County,1968,JACKSON,95.0,Jackson County
1968-Kanabec County,1968,KANABEC,63.0,Kanabec County
1968-Kandiyohi County,1968,KANDIYOHI,78.0,Kandiyohi County
1968-Kittson County,1968,KITTSON,24.0,Kittson County
1968-Lac Qui Parle County,1968,LAC QUI PARLE,70.0,Lac Qui Parle County
1968-Le Sueur County,1968,LE SUEUR,97.0,Le Sueur County
1968-Lincoln County,1968,LINCOLN,64.0,Lincoln County
1968-Lyon County,1968,LYON,84.0,Lyon County
1968-Mahnomen County,1968,MAHNOMEN,40.0,Mahnomen County
1968-Marshall County,1968,MARSHALL,35.0,Marshall County
1968-Martin County,1968,MARTIN,101.0,Martin County
1968-Mcleod County,1968,MCLEOD,84.0,Mcleod County
1968-Meeker County,1968,MEEKER,77.0,Meeker County
1968-Mille Lacs County,1968,MILLE LACS,69.0,Mille Lacs County
1968-Morrison County,1968,MORRISON,56.0,Morrison County
1968-Murray County,1968,MURRAY,70.0,Murray County
1968-Nicollet County,1968,NICOLLET,95.0,Nicollet County
1968-Nobles County,1968,NOBLES,75.0,Nobles County
1968-Norman County,1968,NORMAN,49.0,Norman County
1968-Otter Tail County,1968,OTTER TAIL,48.0,Otter Tail County
1968-Pennington County,1968,PENNINGTON,27.0,Pennington County
1968-Pine County,1968,PINE,67.0,Pine County
1968-Pipestone County,1968,PIPESTONE,59.0,Pipestone County
1968-Polk County,1968,POLK,49.0,Polk County
1968-Pope County,1968,POPE,56.0,Pope County
1968-Ramsey County,1968,RAMSEY,67.0,Ramsey County
1968-Red Lake County,1968,RED LAKE,46.0,Red Lake County
1968-Redwood County,1968,REDWOOD,89.0,Redwood County
1968-Renville County,1968,RENVILLE,90.0,Renville County
1968-Rice County,1968,RICE,88.0,Rice County
1968-Rock County,1968,ROCK,70.0,Rock County
1968-Roseau County,1968,ROSEAU,23.0,Roseau County
1968-Scott County,1968,SCOTT,78.0,Scott County
1968-Sherburne County,1968,SHERBURNE,62.0,Sherburne County
1968-Sibley County,1968,SIBLEY,90.0,Sibley County
1968-St. Louis County,1968,ST. LOUIS,36.0,St. Louis County
1968-Stearns County,1968,STEARNS,62.0,Stearns County
1968-Steele County,1968,STEELE,90.0,Steele County
1968-Stevens County,1968,STEVENS,59.0,Stevens County
1968-Swift County,1968,SWIFT,66.0,Swift County
1968-Todd County,1968,TODD,54.0,Todd County
1968-Traverse County,1968,TRAVERSE,62.0,Traverse County
1968-Wadena County,1968,WADENA,45.0,Wadena County
1968-Waseca County,1968,WASECA,93.0,Waseca County
1968-Washington County,1968,WASHINGTON,85.0,Washington County
1968-Watonwan County,1968,WATONWAN,97.0,Watonwan County
1968-Wilkin County,1968,WILKIN,52.0,Wilkin County
1968-Wright County,1968,WRIGHT,73.0,Wright County
1968-Yellow Medicine County,1968,YELLOW MEDICINE,86.0,Yellow Medicine County
1969-Aitkin County,1969,AITKIN,32.0,Aitkin County
1969-Anoka County,1969,ANOKA,48.0,Anoka County
1969-Becker County,1969,BECKER,50.0,Becker County
1969-Beltrami County,1969,BELTRAMI,41.0,Beltrami County
1969-Benton County,1969,BENTON,50.0,Benton County
1969-Big Stone County,1969,BIG STONE,55.0,Big Stone County
1969-Blue Earth County,1969,BLUE EARTH,100.0,Blue Earth County
1969-Brown County,1969,BROWN,88.0,Brown County
1969-Carlton County,1969,CARLTON,30.0,Carlton County
1969-Carver County,1969,CARVER,84.0,Carver County
1969-Cass County,1969,CASS,45.0,Cass County
1969-Chippewa County,1969,CHIPPEWA,89.0,Chippewa County
1969-Chisago County,1969,CHISAGO,63.0,Chisago County
1969-Clay County,1969,CLAY,51.0,Clay County
1969-Clearwater County,1969,CLEARWATER,43.0,Clearwater County
