index,County,"YIELD, MEASURED IN BU / ACRE"
1958-ST. LOUIS,ST. LOUIS,50.0
1958-STEARNS,STEARNS,51.0
1958-STEELE,STEELE,65.0
1958-STEVENS,STEVENS,57.0
1958-SWIFT,SWIFT,48.0
1958-TODD,TODD,52.0
1958-TRAVERSE,TRAVERSE,60.0
1958-WADENA,WADENA,40.0
1958-WASECA,WASECA,64.0
1958-WASHINGTON,WASHINGTON,53.0
1958-WATONWAN,WATONWAN,61.0
1958-WILKIN,WILKIN,53.0
1958-WRIGHT,WRIGHT,60.0
1958-YELLOW MEDICINE,YELLOW MEDICINE,57.0
1959-AITKIN,AITKIN,37.0
1959-ANOKA,ANOKA,45.0
1959-BECKER,BECKER,41.0
1959-BELTRAMI,BELTRAMI,45.0
1959-BENTON,BENTON,41.0
1959-BIG STONE,BIG STONE,23.0
1959-BLUE EARTH,BLUE EARTH,52.0
1959-BROWN,BROWN,33.0
1959-CARLTON,CARLTON,43.0
1959-CARVER,CARVER,61.0
1959-CASS,CASS,34.0
1959-CHIPPEWA,CHIPPEWA,42.0
1959-CHISAGO,CHISAGO,51.0
1959-CLAY,CLAY,44.0
1959-CLEARWATER,CLEARWATER,47.0
1959-COTTONWOOD,COTTONWOOD,45.0
1959-CROW WING,CROW WING,36.0
1959-DOUGLAS,DOUGLAS,48.0
1959-FARIBAULT,FARIBAULT,58.0
1959-FREEBORN,FREEBORN,59.0
1959-GRANT,GRANT,43.0
1959-HENNEPIN,HENNEPIN,60.0
1959-HUBBARD,HUBBARD,42.0
1959-ISANTI,ISANTI,39.0
1959-ITASCA,ITASCA,36.0
1959-JACKSON,JACKSON,42.0
1959-KANABEC,KANABEC,39.0
1959-KANDIYOHI,KANDIYOHI,45.0
1959-KITTSON,KITTSON,37.0
1959-KOOCHICHING,KOOCHICHING,38.0
1959-LAC QUI PARLE,LAC QUI PARLE,31.0
1959-LAKE OF THE WOODS,LAKE OF THE WOODS,44.0
1959-LE SUEUR,LE SUEUR,51.0
1959-LINCOLN,LINCOLN,28.0
1959-LYON,LYON,36.0
1959-MAHNOMEN,MAHNOMEN,47.0
1959-MARSHALL,MARSHALL,41.0
1959-MARTIN,MARTIN,46.0
1959-MCLEOD,MCLEOD,60.0
1959-MEEKER,MEEKER,49.0
1959-MILLE LACS,MILLE LACS,42.0
1959-MORRISON,MORRISON,39.0
1959-MURRAY,MURRAY,48.0
1959-NICOLLET,NICOLLET,35.0
1959-NOBLES,NOBLES,43.0
1959-NORMAN,NORMAN,44.0
1959-OTTER TAIL,OTTER TAIL,45.0
1959-PENNINGTON,PENNINGTON,43.0
1959-PINE,PINE,43.0
1959-PIPESTONE,PIPESTONE,42.0
1959-POLK,POLK,44.0
1959-POPE,POPE,43.0
1959-RAMSEY,RAMSEY,50.0
1959-RED LAKE,RED LAKE,39.0
1959-REDWOOD,REDWOOD,46.0
1959-RENVILLE,RENVILLE,49.0
1959-RICE,RICE,56.0
1959-ROCK,ROCK,39.0
1959-ROSEAU,ROSEAU,41.0
1959-SCOTT,SCOTT,57.0
1959-SHERBURNE,SHERBURNE,31.0
1959-SIBLEY,SIBLEY,52.0
1959-ST. LOUIS,ST. LOUIS,33.0
1959-STEARNS,STEARNS,48.0
1959-STEELE,STEELE,60.0
1959-STEVENS,STEVENS,32.0
1959-SWIFT,SWIFT,35.0
1959-TODD,TODD,40.0
1959-TRAVERSE,TRAVERSE,32.0
1959-WADENA,WADENA,35.0
1959-WASECA,WASECA,59.0
1959-WASHINGTON,WASHINGTON,50.0
1959-WATONWAN,WATONWAN,36.0
1959-WILKIN,WILKIN,45.0
1959-WRIGHT,WRIGHT,57.0
1959-YELLOW MEDICINE,YELLOW MEDICINE,30.0
1960-AITKIN,AITKIN,44.0
1960-ANOKA,ANOKA,41.0
1960-BECKER,BECKER,41.0
1960-BELTRAMI,BELTRAMI,48.0
1960-BENTON,BENTON,51.0
1960-BIG STONE,BIG STONE,51.0
1960-BLUE EARTH,BLUE EARTH,44.0
1960-BROWN,BROWN,59.0
1960-CARLTON,CARLTON,48.0
1960-CARVER,CARVER,57.0
1960-CASS,CASS,30.0
1960-CHIPPEWA,CHIPPEWA,48.0
1960-CHISAGO,CHISAGO,49.0
1960-CLAY,CLAY,48.0
1960-CLEARWATER,CLEARWATER,49.0
1960-COTTONWOOD,COTTONWOOD,51.0
1960-CROW WING,CROW WING,42.0
1960-DOUGLAS,DOUGLAS,52.0
1960-FARIBAULT,FARIBAULT,48.0
1960-FREEBORN,FREEBORN,46.0
1960-GRANT,GRANT,53.0
1960-HENNEPIN,HENNEPIN,54.0
1960-HUBBARD,HUBBARD,32.0
1960-ISANTI,ISANTI,54.0
1960-ITASCA,ITASCA,49.0
1960-JACKSON,JACKSON,49.0
1960-KANABEC,KANABEC,49.0
1960-KANDIYOHI,KANDIYOHI,53.0
1960-KITTSON,KITTSON,47.0
1960-KOOCHICHING,KOOCHICHING,48.0
1960-LAC QUI PARLE,LAC QUI PARLE,51.0
1960-LAKE,LAKE,45.0
1960-LAKE OF THE WOODS,LAKE OF THE WOODS,49.0
1960-LE SUEUR,LE SUEUR,52.0
1960-LINCOLN,LINCOLN,55.0
1960-LYON,LYON,57.0
1960-MAHNOMEN,MAHNOMEN,44.0
1960-MARSHALL,MARSHALL,45.0
1960-MARTIN,MARTIN,45.0
1960-MCLEOD,MCLEOD,60.0
1960-MEEKER,MEEKER,57.0
1960-MILLE LACS,MILLE LACS,54.0
1960-MORRISON,MORRISON,42.0
1960-MURRAY,MURRAY,50.0
1960-NICOLLET,NICOLLET,53.0
1960-NOBLES,NOBLES,50.0
1960-NORMAN,NORMAN,46.0
1960-OTTER TAIL,OTTER TAIL,45.0
1960-PENNINGTON,PENNINGTON,47.0
1960-PINE,PINE,45.0
1960-PIPESTONE,PIPESTONE,49.0
1960-POLK,POLK,48.0
1960-POPE,POPE,49.0
1960-RAMSEY,RAMSEY,54.0
1960-RED LAKE,RED LAKE,47.0
1960-REDWOOD,REDWOOD,56.0
1960-RENVILLE,RENVILLE,54.0
1960-RICE,RICE,49.0
1960-ROCK,ROCK,53.0
1960-ROSEAU,ROSEAU,47.0
1960-SCOTT,SCOTT,49.0
1960-SHERBURNE,SHERBURNE,45.0
1960-SIBLEY,SIBLEY,53.0
1960-ST. LOUIS,ST. LOUIS,45.0
1960-STEARNS,STEARNS,49.0
1960-STEELE,STEELE,40.0
1960-STEVENS,STEVENS,54.0
1960-SWIFT,SWIFT,47.0
1960-TODD,TODD,46.0
1960-TRAVERSE,TRAVERSE,55.0
1960-WADENA,WADENA,28.0
1960-WASECA,WASECA,43.0
1960-WASHINGTON,WASHINGTON,55.0
1960-WATONWAN,WATONWAN,47.0
1960-WILKIN,WILKIN,54.0
1960-WRIGHT,WRIGHT,55.0
1960-YELLOW MEDICINE,YELLOW MEDICINE,55.0
1961-AITKIN,AITKIN,34.0
1961-ANOKA,ANOKA,39.0
1961-BECKER,BECKER,32.0
1961-BELTRAMI,BELTRAMI,33.0
1961-BENTON,BENTON,43.0
1961-BIG STONE,BIG STONE,49.0
1961-BLUE EARTH,BLUE EARTH,53.0
1961-BROWN,BROWN,58.0
1961-CARLTON,CARLTON,42.0
1961-CARVER,CARVER,64.0
1961-CASS,CASS,26.0
1961-CHIPPEWA,CHIPPEWA,47.0
1961-CHISAGO,CHISAGO,51.0
1961-CLAY,CLAY,45.0
1961-CLEARWATER,CLEARWATER,35.0
1961-COTTONWOOD,COTTONWOOD,48.0
1961-CROW WING,CROW WING,27.0
1961-DOUGLAS,DOUGLAS,38.0
1961-FARIBAULT,FARIBAULT,58.0
1961-FREEBORN,FREEBORN,55.0
1961-GRANT,GRANT,49.0
1961-HENNEPIN,HENNEPIN,59.0
1961-HUBBARD,HUBBARD,25.0
1961-ISANTI,ISANTI,49.0
1961-ITASCA,ITASCA,32.0
1961-JACKSON,JACKSON,53.0
1961-KANABEC,KANABEC,44.0
1961-KANDIYOHI,KANDIYOHI,52.0
1961-KITTSON,KITTSON,36.0
1961-KOOCHICHING,KOOCHICHING,29.0
1961-LAC QUI PARLE,LAC QUI PARLE,51.0
1961-LAKE,LAKE,31.0
1961-LAKE OF THE WOODS,LAKE OF THE WOODS,31.0
1961-LE SUEUR,LE SUEUR,52.0
1961-LINCOLN,LINCOLN,53.0
1961-LYON,LYON,50.0
1961-MAHNOMEN,MAHNOMEN,38.0
1961-MARSHALL,MARSHALL,28.0
1961-MARTIN,MARTIN,53.0
1961-MCLEOD,MCLEOD,62.0
1961-MEEKER,MEEKER,56.0
1961-MILLE LACS,MILLE LACS,51.0
1961-MORRISON,MORRISON,37.0
1961-MURRAY,MURRAY,49.0
1961-NICOLLET,NICOLLET,54.0
1961-NOBLES,NOBLES,49.0
1961-NORMAN,NORMAN,39.0
1961-OTTER TAIL,OTTER TAIL,37.0
1961-PENNINGTON,PENNINGTON,31.0
1961-PINE,PINE,37.0
1961-PIPESTONE,PIPESTONE,52.0
1961-POLK,POLK,40.0
1961-POPE,POPE,38.0
1961-RAMSEY,RAMSEY,45.0
1961-RED LAKE,RED LAKE,36.0
1961-REDWOOD,REDWOOD,50.0
1961-RENVILLE,RENVILLE,58.0
1961-RICE,RICE,58.0
1961-ROCK,ROCK,51.0
1961-ROSEAU,ROSEAU,28.0
1961-SCOTT,SCOTT,58.0
1961-SHERBURNE,SHERBURNE,42.0
1961-SIBLEY,SIBLEY,62.0
1961-ST. LOUIS,ST. LOUIS,31.0
1961-STEARNS,STEARNS,39.0
1961-STEELE,STEELE,55.0
1961-STEVENS,STEVENS,49.0
1961-SWIFT,SWIFT,46.0
1961-TODD,TODD,40.0
1961-TRAVERSE,TRAVERSE,49.0
1961-WADENA,WADENA,26.0
1961-WASECA,WASECA,57.0
1961-WASHINGTON,WASHINGTON,55.0
1961-WATONWAN,WATONWAN,51.0
1961-WILKIN,WILKIN,47.0
1961-WRIGHT,WRIGHT,57.0
1961-YELLOW MEDICINE,YELLOW MEDICINE,50.0
1962-AITKIN,AITKIN,43.0
1962-ANOKA,ANOKA,33.0
1962-BECKER,BECKER,40.0
1962-BELTRAMI,BELTRAMI,34.0
1962-BENTON,BENTON,42.0
1962-BIG STONE,BIG STONE,40.0
1962-BLUE EARTH,BLUE EARTH,52.0
1962-BROWN,BROWN,52.0
1962-CARLTON,CARLTON,46.0
1962-CARVER,CARVER,54.0
1962-CASS,CASS,28.0
1962-CHIPPEWA,CHIPPEWA,45.0
1962-CHISAGO,CHISAGO,51.0
1962-CLAY,CLAY,49.0
1962-CLEARWATER,CLEARWATER,32.0
1962-COTTONWOOD,COTTONWOOD,47.0
1962-CROW WING,CROW WING,39.0
1962-DOUGLAS,DOUGLAS,41.0
1962-FARIBAULT,FARIBAULT,57.0
1962-FREEBORN,FREEBORN,54.0
1962-GRANT,GRANT,45.0
1962-HENNEPIN,HENNEPIN,46.0
1962-HUBBARD,HUBBARD,31.0
1962-ISANTI,ISANTI,47.0
1962-ITASCA,ITASCA,26.0
1962-JACKSON,JACKSON,52.0
1962-KANABEC,KANABEC,42.0
1962-KANDIYOHI,KANDIYOHI,51.0
1962-KITTSON,KITTSON,45.0
1962-KOOCHICHING,KOOCHICHING,25.0
1962-LAC QUI PARLE,LAC QUI PARLE,48.0
1962-LAKE,LAKE,37.0
1962-LAKE OF THE WOODS,LAKE OF THE WOODS,28.0
1962-LE SUEUR,LE SUEUR,48.0
1962-LINCOLN,LINCOLN,38.0
1962-LYON,LYON,44.0
1962-MAHNOMEN,MAHNOMEN,44.0
1962-MARSHALL,MARSHALL,46.0
1962-MARTIN,MARTIN,47.0
1962-MCLEOD,MCLEOD,55.0
1962-MEEKER,MEEKER,53.0
1962-MILLE LACS,MILLE LACS,38.0
1962-MORRISON,MORRISON,42.0
1962-MURRAY,MURRAY,40.0
1962-NICOLLET,NICOLLET,52.0
1962-NOBLES,NOBLES,43.0
1962-NORMAN,NORMAN,41.0
1962-OTTER TAIL,OTTER TAIL,44.0
1962-PENNINGTON,PENNINGTON,30.0
1962-PINE,PINE,44.0
1962-PIPESTONE,PIPESTONE,38.0
1962-POLK,POLK,37.0
1962-POPE,POPE,43.0
1962-RAMSEY,RAMSEY,54.0
1962-RED LAKE,RED LAKE,32.0
1962-REDWOOD,REDWOOD,45.0
1962-RENVILLE,RENVILLE,52.0
1962-RICE,RICE,55.0
1962-ROCK,ROCK,46.0
1962-ROSEAU,ROSEAU,39.0
1962-SCOTT,SCOTT,53.0
1962-SHERBURNE,SHERBURNE,39.0
1962-SIBLEY,SIBLEY,48.0
1962-ST. LOUIS,ST. LOUIS,38.0
1962-STEARNS,STEARNS,45.0
1962-STEELE,STEELE,51.0
1962-STEVENS,STEVENS,44.0
1962-SWIFT,SWIFT,46.0
1962-TODD,TODD,42.0
1962-TRAVERSE,TRAVERSE,38.0
1962-WADENA,WADENA,32.0
1962-WASECA,WASECA,52.0
1962-WASHINGTON,WASHINGTON,55.0
1962-WATONWAN,WATONWAN,51.0
1962-WILKIN,WILKIN,36.0
1962-WRIGHT,WRIGHT,49.0
1962-YELLOW MEDICINE,YELLOW MEDICINE,45.0
1963-AITKIN,AITKIN,35.0
1963-ANOKA,ANOKA,41.0
1963-BECKER,BECKER,49.0
1963-BELTRAMI,BELTRAMI,32.0
1963-BENTON,BENTON,42.0
1963-BIG STONE,BIG STONE,51.0
1963-BLUE EARTH,BLUE EARTH,58.0
1963-BROWN,BROWN,63.0
1963-CARLTON,CARLTON,49.0
1963-CARVER,CARVER,65.0
1963-CASS,CASS,27.0
1963-CHIPPEWA,CHIPPEWA,49.0
1963-CHISAGO,CHISAGO,58.0
1963-CLAY,CLAY,57.0
1963-CLEARWATER,CLEARWATER,45.0
1963-COTTONWOOD,COTTONWOOD,48.0
1963-CROW WING,CROW WING,40.0
1963-DOUGLAS,DOUGLAS,50.0
1963-FARIBAULT,FARIBAULT,58.0
1963-FREEBORN,FREEBORN,58.0
1963-GRANT,GRANT,56.0
1963-HENNEPIN,HENNEPIN,59.0
1963-HUBBARD,HUBBARD,29.0
1963-ISANTI,ISANTI,45.0
1963-ITASCA,ITASCA,43.0
1963-JACKSON,JACKSON,49.0
1963-KANABEC,KANABEC,42.0
1963-KANDIYOHI,KANDIYOHI,52.0
1963-KITTSON,KITTSON,41.0
1963-KOOCHICHING,KOOCHICHING,36.0
1963-LAC QUI PARLE,LAC QUI PARLE,50.0
1963-LAKE,LAKE,41.0
1963-LAKE OF THE WOODS,LAKE OF THE WOODS,43.0
1963-LE SUEUR,LE SUEUR,60.0
1963-LINCOLN,LINCOLN,37.0
1963-LYON,LYON,51.0
1963-MAHNOMEN,MAHNOMEN,47.0
1963-MARSHALL,MARSHALL,49.0
1963-MARTIN,MARTIN,56.0
1963-MCLEOD,MCLEOD,62.0
1963-MEEKER,MEEKER,53.0
1963-MILLE LACS,MILLE LACS,45.0
1963-MORRISON,MORRISON,39.0
1963-MURRAY,MURRAY,43.0
1963-NICOLLET,NICOLLET,64.0
1963-NOBLES,NOBLES,40.0
1963-NORMAN,NORMAN,54.0
1963-OTTER TAIL,OTTER TAIL,46.0
1963-PENNINGTON,PENNINGTON,53.0
1963-PINE,PINE,42.0
1963-PIPESTONE,PIPESTONE,43.0
1963-POLK,POLK,51.0
1963-POPE,POPE,46.0
1963-RAMSEY,RAMSEY,43.0
1963-RED LAKE,RED LAKE,55.0
1963-REDWOOD,REDWOOD,53.0
1963-RENVILLE,RENVILLE,60.0
1963-RICE,RICE,62.0
1963-ROCK,ROCK,34.0
1963-ROSEAU,ROSEAU,51.0
1963-SCOTT,SCOTT,64.0
1963-SHERBURNE,SHERBURNE,36.0
1963-SIBLEY,SIBLEY,63.0
1963-ST. LOUIS,ST. LOUIS,42.0
1963-STEARNS,STEARNS,50.0
1963-STEELE,STEELE,60.0
1963-STEVENS,STEVENS,58.0
1963-SWIFT,SWIFT,48.0
1963-TODD,TODD,48.0
1963-TRAVERSE,TRAVERSE,53.0
1963-WADENA,WADENA,34.0
1963-WASECA,WASECA,60.0
1963-WASHINGTON,WASHINGTON,54.0
1963-WATONWAN,WATONWAN,53.0
1963-WILKIN,WILKIN,53.0
1963-WRIGHT,WRIGHT,57.0
1963-YELLOW MEDICINE,YELLOW MEDICINE,49.0
1964-AITKIN,AITKIN,40.0
1964-ANOKA,ANOKA,38.0
1964-BECKER,BECKER,45.0
1964-BELTRAMI,BELTRAMI,40.0
1964-BENTON,BENTON,30.0
1964-BIG STONE,BIG STONE,39.0
1964-BLUE EARTH,BLUE EARTH,61.0
1964-BROWN,BROWN,59.0
1964-CARLTON,CARLTON,43.0
1964-CARVER,CARVER,64.0
1964-CASS,CASS,30.0
1964-CHIPPEWA,CHIPPEWA,40.0
1964-CHISAGO,CHISAGO,45.0
1964-CLAY,CLAY,55.0
1964-CLEARWATER,CLEARWATER,40.0
1964-COTTONWOOD,COTTONWOOD,59.0
1964-CROW WING,CROW WING,29.0
1964-DOUGLAS,DOUGLAS,42.0
1964-FARIBAULT,FARIBAULT,69.0
1964-FREEBORN,FREEBORN,60.0
1964-GRANT,GRANT,43.0
1964-HENNEPIN,HENNEPIN,55.0
1964-HUBBARD,HUBBARD,32.0
1964-ISANTI,ISANTI,49.0
1964-ITASCA,ITASCA,44.0
1964-JACKSON,JACKSON,59.0
1964-KANABEC,KANABEC,46.0
1964-KANDIYOHI,KANDIYOHI,42.0
1964-KITTSON,KITTSON,42.0
1964-KOOCHICHING,KOOCHICHING,30.0
1964-LAC QUI PARLE,LAC QUI PARLE,41.0
1964-LAKE,LAKE,40.0
1964-LAKE OF THE WOODS,LAKE OF THE WOODS,33.0
1964-LE SUEUR,LE SUEUR,58.0
1964-LINCOLN,LINCOLN,40.0
1964-LYON,LYON,46.0
1964-MAHNOMEN,MAHNOMEN,45.0
1964-MARSHALL,MARSHALL,41.0
1964-MARTIN,MARTIN,59.0
1964-MCLEOD,MCLEOD,59.0
1964-MEEKER,MEEKER,52.0
1964-MILLE LACS,MILLE LACS,40.0
1964-MORRISON,MORRISON,29.0
1964-MURRAY,MURRAY,44.0
1964-NICOLLET,NICOLLET,65.0
1964-NOBLES,NOBLES,51.0
1964-NORMAN,NORMAN,48.0
1964-OTTER TAIL,OTTER TAIL,38.0
1964-PENNINGTON,PENNINGTON,38.0
1964-PINE,PINE,46.0
1964-PIPESTONE,PIPESTONE,35.0
1964-POLK,POLK,47.0
1964-POPE,POPE,37.0
1964-RAMSEY,RAMSEY,42.0
1964-RED LAKE,RED LAKE,41.0
1964-REDWOOD,REDWOOD,52.0
1964-RENVILLE,RENVILLE,57.0
1964-RICE,RICE,57.0
1964-ROCK,ROCK,45.0
1964-ROSEAU,ROSEAU,42.0
1964-SCOTT,SCOTT,58.0
1964-SHERBURNE,SHERBURNE,26.0
1964-SIBLEY,SIBLEY,58.0
1964-ST. LOUIS,ST. LOUIS,41.0
1964-STEARNS,STEARNS,39.0
1964-STEELE,STEELE,61.0
1964-STEVENS,STEVENS,48.0
1964-SWIFT,SWIFT,38.0
1964-TODD,TODD,42.0
1964-TRAVERSE,TRAVERSE,43.0
1964-WADENA,WADENA,35.0
1964-WASECA,WASECA,65.0
1964-WASHINGTON,WASHINGTON,42.0
1964-WATONWAN,WATONWAN,55.0
1964-WILKIN,WILKIN,49.0
1964-WRIGHT,WRIGHT,45.0
1964-YELLOW MEDICINE,YELLOW MEDICINE,41.0
1965-AITKIN,AITKIN,34.0
1965-ANOKA,ANOKA,45.0
1965-BECKER,BECKER,49.0
1965-BELTRAMI,BELTRAMI,40.0
1965-BENTON,BENTON,33.0
1965-BIG STONE,BIG STONE,58.0
1965-BLUE EARTH,BLUE EARTH,55.0
1965-BROWN,BROWN,54.0
1965-CARLTON,CARLTON,44.0
1965-CARVER,CARVER,52.0
1965-CASS,CASS,30.0
1965-CHIPPEWA,CHIPPEWA,54.0
1965-CHISAGO,CHISAGO,51.0
1965-CLAY,CLAY,60.0
1965-CLEARWATER,CLEARWATER,44.0
1965-COTTONWOOD,COTTONWOOD,56.0
1965-CROW WING,CROW WING,34.0
1965-DOUGLAS,DOUGLAS,53.0
1965-FARIBAULT,FARIBAULT,59.0
1965-FREEBORN,FREEBORN,64.0
1965-GRANT,GRANT,59.0
1965-HENNEPIN,HENNEPIN,51.0
1965-HUBBARD,HUBBARD,33.0
1965-ISANTI,ISANTI,51.0
1965-ITASCA,ITASCA,36.0
1965-JACKSON,JACKSON,51.0
1965-KANABEC,KANABEC,49.0
1965-KANDIYOHI,KANDIYOHI,57.0
1965-KITTSON,KITTSON,58.0
1965-KOOCHICHING,KOOCHICHING,33.0
1965-LAC QUI PARLE,LAC QUI PARLE,57.0
1965-LAKE,LAKE,41.0
1965-LAKE OF THE WOODS,LAKE OF THE WOODS,32.0
1965-LE SUEUR,LE SUEUR,50.0
1965-LINCOLN,LINCOLN,60.0
1965-LYON,LYON,61.0
1965-MAHNOMEN,MAHNOMEN,55.0
1965-MARSHALL,MARSHALL,56.0
1965-MARTIN,MARTIN,52.0
1965-MCLEOD,MCLEOD,52.0
1965-MEEKER,MEEKER,56.0
1965-MILLE LACS,MILLE LACS,48.0
1965-MORRISON,MORRISON,36.0
1965-MURRAY,MURRAY,54.0
1965-NICOLLET,NICOLLET,54.0
1965-NOBLES,NOBLES,54.0
1965-NORMAN,NORMAN,56.0
1965-OTTER TAIL,OTTER TAIL,49.0
1965-PENNINGTON,PENNINGTON,45.0
1965-PINE,PINE,44.0
1965-PIPESTONE,PIPESTONE,60.0
1965-POLK,POLK,54.0
1965-POPE,POPE,50.0
1965-RAMSEY,RAMSEY,53.0
1965-RED LAKE,RED LAKE,45.0
1965-REDWOOD,REDWOOD,62.0
1965-RENVILLE,RENVILLE,59.0
1965-RICE,RICE,60.0
1965-ROCK,ROCK,60.0
1965-ROSEAU,ROSEAU,51.0
1965-SCOTT,SCOTT,53.0
1965-SHERBURNE,SHERBURNE,31.0
1965-SIBLEY,SIBLEY,46.0
1965-ST. LOUIS,ST. LOUIS,41.0
1965-STEARNS,STEARNS,53.0
1965-STEELE,STEELE,60.0
1965-STEVENS,STEVENS,58.0
1965-SWIFT,SWIFT,55.0
1965-TODD,TODD,48.0
1965-TRAVERSE,TRAVERSE,55.0
1965-WADENA,WADENA,33.0
1965-WASECA,WASECA,64.0
1965-WASHINGTON,WASHINGTON,53.0
1965-WATONWAN,WATONWAN,56.0
1965-WILKIN,WILKIN,62.0
1965-WRIGHT,WRIGHT,48.0
1965-YELLOW MEDICINE,YELLOW MEDICINE,59.0
1966-AITKIN,AITKIN,35.0
1966-ANOKA,ANOKA,41.0
1966-BECKER,BECKER,37.0
1966-BELTRAMI,BELTRAMI,32.0
1966-BENTON,BENTON,38.0
1966-BIG STONE,BIG STONE,43.0
1966-BLUE EARTH,BLUE EARTH,60.0
1966-BROWN,BROWN,55.0
1966-CARLTON,CARLTON,38.0
1966-CARVER,CARVER,59.0
1966-CASS,CASS,28.0
1966-CHIPPEWA,CHIPPEWA,48.0
1966-CHISAGO,CHISAGO,48.0
1966-CLAY,CLAY,49.0
1966-CLEARWATER,CLEARWATER,37.0
1966-COTTONWOOD,COTTONWOOD,60.0
1966-CROW WING,CROW WING,30.0
1966-DOUGLAS,DOUGLAS,40.0
1966-FARIBAULT,FARIBAULT,61.0
1966-FREEBORN,FREEBORN,61.0
1966-GRANT,GRANT,36.0
1966-HENNEPIN,HENNEPIN,54.0
1966-HUBBARD,HUBBARD,25.0
1966-ISANTI,ISANTI,39.0
1966-ITASCA,ITASCA,26.0
1966-JACKSON,JACKSON,65.0
1966-KANABEC,KANABEC,28.0
1966-KANDIYOHI,KANDIYOHI,50.0
1966-KITTSON,KITTSON,44.0
1966-KOOCHICHING,KOOCHICHING,29.0
1966-LAC QUI PARLE,LAC QUI PARLE,48.0
1966-LAKE,LAKE,33.0
1966-LAKE OF THE WOODS,LAKE OF THE WOODS,39.0
1966-LE SUEUR,LE SUEUR,60.0
1966-LINCOLN,LINCOLN,49.0
1966-LYON,LYON,53.0
1966-MAHNOMEN,MAHNOMEN,41.0
1966-MARSHALL,MARSHALL,43.0
1966-MARTIN,MARTIN,60.0
1966-MCLEOD,MCLEOD,55.0
1966-MEEKER,MEEKER,53.0
1966-MILLE LACS,MILLE LACS,38.0
1966-MORRISON,MORRISON,33.0
1966-MURRAY,MURRAY,50.0
1966-NICOLLET,NICOLLET,61.0
1966-NOBLES,NOBLES,53.0
1966-NORMAN,NORMAN,44.0
1966-OTTER TAIL,OTTER TAIL,35.0
1966-PENNINGTON,PENNINGTON,39.0
1966-PINE,PINE,30.0
1966-PIPESTONE,PIPESTONE,43.0
1966-POLK,POLK,41.0
1966-POPE,POPE,31.0
1966-RAMSEY,RAMSEY,51.0
1966-RED LAKE,RED LAKE,40.0
1966-REDWOOD,REDWOOD,62.0
1966-RENVILLE,RENVILLE,61.0
1966-RICE,RICE,64.0
1966-ROCK,ROCK,60.0
1966-ROSEAU,ROSEAU,40.0
1966-SCOTT,SCOTT,56.0
1966-SHERBURNE,SHERBURNE,33.0
1966-SIBLEY,SIBLEY,53.0
1966-ST. LOUIS,ST. LOUIS,33.0
1966-STEARNS,STEARNS,45.0
1966-STEELE,STEELE,59.0
1966-STEVENS,STEVENS,37.0
1966-SWIFT,SWIFT,51.0
1966-TODD,TODD,39.0
1966-TRAVERSE,TRAVERSE,39.0
1966-WADENA,WADENA,29.0
1966-WASECA,WASECA,61.0
1966-WASHINGTON,WASHINGTON,51.0
1966-WATONWAN,WATONWAN,60.0
1966-WILKIN,WILKIN,46.0
1966-WRIGHT,WRIGHT,54.0
1966-YELLOW MEDICINE,YELLOW MEDICINE,54.0
1967-AITKIN,AITKIN,35.0
1967-ANOKA,ANOKA,60.0
1967-BECKER,BECKER,45.0
1967-BELTRAMI,BELTRAMI,43.0
1967-BENTON,BENTON,49.0
1967-BIG STONE,BIG STONE,59.0
1967-BLUE EARTH,BLUE EARTH,66.0
1967-BROWN,BROWN,56.0
1967-CARLTON,CARLTON,45.0
1967-CARVER,CARVER,63.0
1967-CASS,CASS,35.0
1967-CHIPPEWA,CHIPPEWA,71.0
1967-CHISAGO,CHISAGO,57.0
1967-CLAY,CLAY,55.0
1967-CLEARWATER,CLEARWATER,41.0
1967-COTTONWOOD,COTTONWOOD,59.0
1967-CROW WING,CROW WING,42.0
1967-DOUGLAS,DOUGLAS,51.0
1967-FARIBAULT,FARIBAULT,64.0
1967-FREEBORN,FREEBORN,61.0
1967-GRANT,GRANT,63.0
1967-HENNEPIN,HENNEPIN,50.0
1967-HUBBARD,HUBBARD,34.0
1967-ISANTI,ISANTI,57.0
1967-ITASCA,ITASCA,41.0
1967-JACKSON,JACKSON,60.0
1967-KANABEC,KANABEC,53.0
1967-KANDIYOHI,KANDIYOHI,60.0
1967-KITTSON,KITTSON,44.0
1967-KOOCHICHING,KOOCHICHING,31.0
1967-LAC QUI PARLE,LAC QUI PARLE,60.0
1967-LAKE,LAKE,40.0
1967-LAKE OF THE WOODS,LAKE OF THE WOODS,32.0
1967-LE SUEUR,LE SUEUR,66.0
1967-LINCOLN,LINCOLN,53.0
1967-LYON,LYON,60.0
1967-MAHNOMEN,MAHNOMEN,46.0
1967-MARSHALL,MARSHALL,52.0
1967-MARTIN,MARTIN,59.0
1967-MCLEOD,MCLEOD,61.0
1967-MEEKER,MEEKER,67.0
1967-MILLE LACS,MILLE LACS,52.0
1967-MORRISON,MORRISON,43.0
1967-MURRAY,MURRAY,53.0
1967-NICOLLET,NICOLLET,63.0
1967-NOBLES,NOBLES,55.0
1967-NORMAN,NORMAN,60.0
1967-OTTER TAIL,OTTER TAIL,43.0
1967-PENNINGTON,PENNINGTON,39.0
1967-PINE,PINE,51.0
1967-PIPESTONE,PIPESTONE,53.0
1967-POLK,POLK,53.0
